,date,title,body
17,"Jun 18, 2024",Gold meets digital dollars: Tether launches aUSD₮ – a stablecoin with gold backing,"
(Kitco News) – Tether, the company responsible for issuing USDT, the top stablecoin by market cap, continues to expand beyond fait-backed stablecoins with the launch of Alloy by Tether, a new asset-backed token that uses Tether Gold (XAU₮) as collateral.  
 
“Developed by Moon Gold NA, S.A. de C.V. and Moon Gold El Salvador, S.A. de C.V., both of whom are members of the Tether Group, Alloy by Tether aims to redefine stability in the digital economy by combining the strengths of a stable unit of account with the security and reliability of gold,” the company said in a press release. 
 
“We are thrilled to announce the launch of Alloy by Tether, introducing a class of digital assets backed by gold and tethered to a reference fiat currency,” said Paolo Ardoino, CEO of Tether.  “While the stabilization mechanism is different compared to traditional options like USD₮, this innovative solution marks an exciting milestone, and we eagerly anticipate how it will interact with the rest of the market. Moreover, we plan to make this innovative technology available in our upcoming digital asset tokenization platform as well.”
 
The new Alloy token is similar to other tethered assets in that it is designed to track the price of reference assets – in this case, XAU₮ – “through stabilization strategies like over-collateralization with liquid assets and secondary market liquidity pools,” Tether said. “This innovative approach provides consistent value and stability between the reference asset and its tethered counterpart.”
 
The company said Alloy by Tether will eventually contain multiple tokens, the first of which will be aUSD₮, a digital currency designed to track the value of one US dollar. 
 
“What makes aUSD₮ unique is that it is over-collateralized by Tether Gold (XAU₮), which means it is supported by real physical gold stored in Switzerland,” Tether said. “Users can create aUSD₮ tokens using Tether Gold as collateral.”
 
The token’s design aims to give users who want to engage in digital transactions, payments, and remittances with a currency that feels as familiar as the U.S. dollar the ability to do so without having to sell their XAU₮.
 
“Currently, Alloy by Tether smart contracts are deployed on the Ethereum Mainnet,” Tether said. “Users can mint aUSD₮ by depositing Tether Gold as collateral through a process managed by Ethereum-compatible smart contracts. The aUSD₮ smart contract ensures transparency by keeping track of all collateral and minted tokens, using Price Oracles to constantly evaluate the Mint to Value (MTV) ratio.”
 
The new aUSD₮ token is the first in a planned series of tokens to be released via Alloy by Tether, “an open platform that allows the creation of different tethered assets with broader backing mechanics, potentially including yield-bearing products,” they said. “This technology provides a modern approach to asset management for institutions as well by offering a secure, gold-backed digital asset that can be integrated into portfolios.”
 
Moon Gold NA, S.A. de C.V., and Moon Gold El Salvador, S.A. de C.V., which are both authorized by the CNAD in El Salvador, will oversee the issuance and management of aUSD₮ and will be able to cater to different customer segments and regulatory requirements, Tether said. "
18,"Jun 18, 2024",Gold price to churn for the next six months and then rally back to record highs - Wells Fargo,"
(Kitco News) - Investors need to be patient when it comes to gold. According to one U.S. bank, the precious metal could continue to consolidate through the summer as markets come to terms with the Federal Reserve’s holding pattern.
In an interview with Kitco News, John LaForge, Head of Real Asset Strategy at the bank, said that he does not expect the Federal Reserve to cut rates until the final months of the year. He added that the market is seeing solid signs that the Federal Reserve’s aggressive monetary policies have reached their limit.
Until then, LaForge said that the market will be at the mercy of its natural ebbs and flows in retail markets. He pointed out that consumers in Asia, led by Chinese and Indian buyers, have been significant drivers for the physical bullion market, supporting prices near-record levels.
However, he added that this momentum could be reaching its limit as these consumers face a combination of elevated gold prices and weaker domestic currencies due to the resilient strength of the U.S. dollar.
“If you're an Indian consumer, all of a sudden, year-to-date, your gold has become 30% more expensive,” he said. “Generally, what we find with consumers is they don't stop buying. They just buy a little bit less. That’s why I think gold might churn for a little bit over the next six months.”
According to the bank’s updated mid-year price forecasts, gold prices are expected to trade between $2,300 and $2,400 an ounce. The range is expected to increase to $2,400 and $2,500 an ounce by the end of 2025.
Looking ahead, while some investors are waiting for the Federal Reserve to embark on an easing cycle before they jump back into the gold market, LaForge said that it doesn’t have to be that explicit.
LaForge stated that any kind of liquidity event or quantitative easing would be enough to drive gold prices up to all-time highs.
“It may take one or two years, but the writing is on the wall when looking at interest rates. Rates can’t go much higher,” he said. “Higher interest rates will become a major problem for governments that have to deal with elevated debt levels. There will be pressure to ensure rates don’t start to climb. It’s not just in the U.S. debt is piling up around the globe, which is why you see so many central banks turning to gold.”
Although Western retail investors continue to wait for the right moment to jump into the gold market, LaForge said he doesn’t see that hesitation among official gold buyers. He added that he expects central banks to continue buying gold as there are still years left in this new commodity supercycle.
He explained that in the current environment, nations will continue to diversify into gold to protect their wealth and purchasing power as higher commodity prices keep inflation pressures stubbornly elevated.
“As long as debt is an issue, gold will remain an option on the table,” he said.
While LaForge sees solid potential for gold and silver through 2025, he said investors should maintain a well-diversified portfolio of commodities.
“Essentially, what bull supercycles are about is that there is not enough supply to meet demand. Generally, you can look at it as a tide that lifts all boats, and the worst strategic move you can make is to try to get too cute and pick one asset over another,” he said. “Rule one: own a basket of professionally managed commodities.”
Breaking down a dollar investment in the commodity market, LaForge said that 50 cents should make up the broad basket. With the other half of the investment, he added that investors can get a little more specific.
“Because debt and interest rates are a big part of this particular cycle, if you're going to be cute, I would do it in precious metals,” he said.
With the leftover 50 cents, LaForge said he would invest half of it in gold and the other half in a mix of silver and platinum to capture some aggressive upside momentum.
LaForge’s bullish outlook on precious metals comes as Wells Fargo publishes its mid-year outlook. The bank’s top analysts have said that while they don’t expect to see a collapse in the U.S. and global economies, now is the time to get a little more defensive.
The bank said that rising geopolitical uncertainty ahead of the November U.S. elections poses some risks for financial markets in the second half of the year.
Looking ahead, the bank noted that interest rate expectations are falling in line with its initial estimates. In December, the analysts said that a potential six rate cuts this year was too extreme. Wells Fargo was looking for around two rate cuts this year."
19,"Jun 18, 2024","Supply constraints, demand growth are bullish for both sides of the gold:silver ratio – CME Group’s Norland","
(Kitco News) – While there are several key factors that impact gold and silver prices differently, new demand growth for both precious metals and the paucity of new supply means both are likely to continue increasing in value, according to Erik Norland, Executive Director and Senior Economist at CME Group.
The first gold and silver coins were minted 2600 years ago in the Anatolian Kingdom of Lydia, and this resulted in the earliest known instance of the gold:silver ratio. 
“Like any cross rate, the amount of silver that can be purchased with an ounce of gold is driven by both demand and supply-side factors, and the cross rate is anything other than stable,” Norland said. “Sadly, we don’t have the time series of the gold-silver ratio dating back to ancient times, but we do have data going back to the launch of gold futures on December 31, 1974. Since the mid-1970s, one ounce of gold bought anywhere from 17 ounces to as many as 123 ounces of silver.”

Aside from monetary policy, Norland listed four key factors that govern the gold-silver ratio: relative volatility and the silver beta; fabrication demand and technological change; gold’s use as a monetary asset; and Supply-side dynamics.
“To borrow an expression from the equity markets, silver is the high-beta version of gold,” Norland said. “First, silver and gold prices usually have a strong positive correlation. Since 2004, the one-year rolling correlation of their daily price moves has hovered around +0.8.”

Norland also pointed out that silver is more volatile than gold. “As such, when gold prices move up, silver tends to move up more, thereby lowering the gold-silver price ratio,” he said. “By contrast, during bear markets, the gold-silver ratio tends to rise. For example, when gold and silver prices peaked in September 2011, one ounce of gold bought fewer than 32 ounces of silver. In the ensuing bear market, the ratio rose to as high as 124 ounces of silver per ounce of gold.”
Norland noted that as gold and silver rallied early in the pandemic in 2020, the ratio fell by nearly 50% to 64. “In 2024, as both metals have rallied, silver has outperformed, rising 23% in the first five months of the year compared to 12% for the yellow metal,” he wrote.

The second major factor that impacts the gold:silver ratio is fabrication demand and technological change. “What is curious is that while gold and silver have rallied thus far in 2024, gold broke to new record highs of nearly $2,500 per ounce, whereas silver prices remain 40% below their twin 1980 and 2011 peaks despite having outperformed gold since 2020,” he noted. “The reason may lie in technological advances.”

Norland wrote that well before the first gold and silver coins were minted, both metals were already being used to make jewelry. “Even today, the primary use of both metals is to make jewellery,” he said. “Yet, thus far this century, silver has been buffeted by two sets of technological developments: the digital revolution and the energy transition. Both have impacted the relative gold-silver ratio.”In 1999, photography consumed 36.6% of the year’s silver supply, but by 2023, the rise of digital photography meant the sector used only 2.3% of the annual supply. “Meanwhile, silver’s use in electronics and batteries grew from 90 million ounces to 227.4 million ounces or from 12.3% to 22.7% of silver’s total annual supply, partially offsetting the decline in traditional photography, which may partially explain why silver has struggled to hit new highs in recent years even as gold has set records,” Norland wrote.“The good news for silver, however, is that it is finding new use in the energy transition,” he added. “Over the past few years silver has seen strong growth coming from solar panels, which accounted for 20% of 2023 silver demand, up from essentially nothing in 1999. Solar panels may explain in part why silver has recovered relative to gold since 2020.”

“By contrast, gold fabrication demand has shown itself to be immune from recent technological developments and is still overwhelmingly dominated by jewellery demand, with electronics, dental and other uses absorbing just 17% of annual gold mining supply,” Norland noted. “The differences in silver and gold fabrication demand underscores that gold is considered the purer of the two precious metals.”
Norland pointed out another key difference between the two metals. “[C]entral banks around the world treat gold as money while they largely ignore silver,” he wrote. “They hold a combined 36,700 metric tons of gold, the equivalent of 1.2 billion troy ounces or 13 years of global mining output. Moreover, central banks have been net buyers of gold every year since the global financial crisis.”

He also pointed out that central banks have been net buyers of gold since 2009, whereas they were net sellers from 1982 to 2007.
“Central banks’ accumulation of gold suggests that they want a hard asset to complement their foreign exchange reserves of dollars, euros, yen, and other fiat currencies, a view that appears to have been reinforced by on-and-off quantitative easing since 2009 and increased use of financial sanctions,” Norland noted. “Central bank buying impacts gold prices directly, but only boosts silver prices indirectly via the gold market.”The final factor that governs the relative value of the two metals is supply, and here, as well, sovereign buying is having a significant impact, as it reduces the amount of gold available to the public.
“Over the past decade, central bank buying has removed the equivalent of 8%-20% of new mining supply from the gold market each year, which may also explain why the gold-silver ratio rose significantly from 2011 to 2020 and why, even today, it remains at 2x its 2011 level,” Norland wrote.

This new demand is running into long-term supply constraints. “Total gold supply net of official purchases has stagnated since 2003,” he said. “Meanwhile, silver mining supply peaked in 2016, and gold mining supply peaked the next year.”
“The fact that new supply is arriving on the market more slowly than in the past may be bullish for both gold and silver,” Norland noted.
The CME Group’s econometric analysis indicates that gold and silver prices are negatively correlated with changes to one another’s mining supply. “A 1% decrease in gold mining supply, on balance, boosted gold prices by 1.9% and silver by 3.0% from 1974 to 2023,” he wrote. “A 1% decrease in silver mining supply boosted the prices of the metals by 1.3%-1.6%.”

“Secondary supply appears to respond to price rather than drive it,” Norland concluded. “Higher prices incentivize more recycling, but recycled metal doesn’t appear to depress prices as it doesn’t bring any new metal onto the market.”Despite all the differences in supply, demand, and use, the two metals are connected though jewelry. “Because gold is 70x as costlier than silver when prices rise, demand for gold jewellery falls while silver’s jewellery demand is relatively unresponsive to price because it costs much less,” he added. “Gold and silver can be seen as a sort of binary star system where the two stars orbit a common center of gravity or barycenter. Gold is the larger, more stable and more influential of the two, but it is by no means immune from silver’s pull.”
The gold:silver ratio has strengthened in early trading on Tuesday, hitting a high of 79.873 a half-hour after the North American market open. It has since pulled back somewhat, last trading at 79.012 at the time of writing for a gain of 0.57% on the daily chart.

 "
20,"Jun 18, 2024",Modest price gains for gold after weaker U.S. retail sales   ,"(Kitco News) - Gold prices are slightly up and silver slightly down in early U.S. trading Tuesday. Gold saw a modest boost after a downbeat U.S. economic report was released. August gold was last up $3.30 at $2,332.10. July silver was last down $0.191 at $29.195.
The just-released U.S. retail sales report for May showed a gain of 0.1%, month-on-month, versus expectations for a rise of 0.2%. April sales were revised down from unchanged to -0.2%, month-on-month. Today’s weaker sales data falls into the camp of the U.S. monetary policy hawks, who want to see the Federal Reserve cut interest rates sooner rather than later. CNBC’s chief economics reporter Steve Liesman called today retail sales report very important as the data, including the April revisions, suggests U.S. economic growth is slowing and not accelerating.
Asian and European stock indexes were mostly higher overnight. U.S. stock indexes are pointed toward mixed openings when the New York day session begins. Despite the U.S. federal holiday on Wednesday, when U.S. markets are closed, it’s still a busy week for U.S. data.
In overnight news, the Eurozone consumer price index for May was reported up 2.6%, year-on-year, which was right in line with market expectations.
Australia’s central bank left its monetary policy unchanged at its regular meeting Tuesday. The bank said inflation is easing slower than expected and remains too high.
The key outside markets today see the U.S. dollar index slightly up but did down-tick after the retail sales report. Nymex crude oil prices are near steady and trading around $80.25 a barrel after hitting a six-week high Monday. The benchmark 10-year U.S. Treasury note yield is presently 4.24% and has down-ticked following the retail sales report.
Other U.S. economic data due for release Tuesday includes the weekly Johnson Redbook retail sales report, industrial production and capacity utilization and manufacturing and trade inventories. A few Federal Reserve officials are also slated to speak today.

Technically, August gold bulls and bears are on a level overall near-term technical playing field amid recent choppy trading. Bulls’ next upside price objective is to produce a close above solid resistance at the June high of $2,406.70. Bears' next near-term downside price objective is pushing futures prices below solid technical support at the June low of $2,304.20. First resistance is seen at the overnight high of $2,341.10 and then at $2,350.00. First support is seen at $2,315.00 and then at the June low of $2,304.20. Wyckoff's Market Rating: 5.0.

July silver futures bulls have the overall near-term technical advantage. However, prices are trending down on the daily bar chart. Silver bulls' next upside price objective is closing prices above solid technical resistance at $31.00. The next downside price objective for the bears is closing prices below solid support at $28.00. First resistance is seen at today’s high of $29.76 and then at $30.00. Next support is seen at $29.00 and then at this week’s low of $28.73. Wyckoff's Market Rating: 6.0.
(Hey! My “Markets Front Burner” weekly email report is my best writing and analysis, I think, because I get to look ahead at the marketplace and do some market price forecasting. Plus, I’ll throw in an educational feature to move you up the ladder of trading/investing success. And it’s free! Email me at jim@jimwyckoff.com and I’ll add your email address to my Front Burner list.)"
21,"Jun 18, 2024","Gold prices catch a bid as U.S. retail sales increased 0.1% in May, missing expectations","(Kitco News) - The gold market has pushed into positive territory as the latest economic data shows U.S. consumers have started tightening their belts and adjusting their spending habits.
U.S. retail sales rose 0.1% last month following a downwardly revised drop of 0.2% in April, the U.S. Commerce Department announced Tuesday The data was significantly below expectations, as economists' consensus calls projected a 0.3% reading in May’s headline number.
Core sales, which exclude vehicle sales, fell 0.1% last month, also missing economist expectations for a 0.2% increase. April’s data was also revised lower, falling 0.1%.
Meanwhile, the report said that the control group, excluding sales from auto dealers, building-materials retailers, gas stations, office supply stores, which also feeds directly into U.S. GDP, increased 0.4%, in line with expectations. However, last month’s data was revised down, falling 0.5%, from the initial estimated decline of 0.3%.
The gold market was trading in slightly negative territory ahead of the data but has moved into the green in its initial reaction to the disappointing consumption numbers. August gold futures last traded at $2,334.an ounce, up 0.21% on the day.
Adam Button, head of commodity strategy at Forexlive.com said that the data is “undoubtedly negative for the US dollar and positive for bonds,” creating a positive environment for gold.
Analysts have said that slowing economic growth could force the Federal Reserve to cut rates sooner than expected, even if inflation remains stubbornly elevated. 
“With services consumption growth slowing in recent months and consumer confidence plummeting again, maybe households aren’t quite as impervious to higher interest rates as we were beginning to believe. Admittedly, we don’t expect a full-blown slump in consumption but, at the margin, even a modest slowdown in consumption growth (and consequently GDP growth too) could be enough to tip a finely balanced Fed in favour of a rate cut in September,” said Paul Ashworth, Chief North American Economist at Capital Economics."
22,"Jun 18, 2024",Gold market analysis for June 18 - key intra-day price entry levels for active traders,"(Kitco News) - This 5-minute bar chart for Comex gold futures can be a valuable analytical and trading tool for the active intra-day gold futures trader/market watcher. Based on key short-term technical support and resistance levels, I show potential buy and sell price entry points. (Remember, most successful traders buy on early price strength and sell on early price weakness.) If you are an active intra-day trader of gold, you definitely want to check out this unique and exclusive daily trading/analytical tool found only at Kitco. 
"
23,"Jun 18, 2024",Why central banks are increasing their gold reserves: 29% plan to buy more in 2024 - World Gold Council report,"(Kitco News) - Central bank gold purchases continue to dominate and transform the gold market, and this trend is only getting stronger, according to the latest report from the World Gold Council.
On Tuesday, the WGC published the results of its annual Central Bank Gold Reserves survey. Of the 70 responses, 29% said they expect to increase their gold reserves in the next 12 months.

The WGC said this was the highest level it has seen since it started the annual survey in 2018.
“The planned purchases are chiefly motivated by a desire to rebalance to a more preferred strategic level of gold holdings, domestic gold production, and financial market concerns, including higher crisis risks and rising inflation,” the analysts said in the report.
The survey results come nearly two weeks after data from the People’s Bank of China showed that it didn’t increase its gold reserves in May, ending an 18-month buying spree. However, analysts have said that even if China slows its purchases, there is still robust interest in gold as a reserve diversified.
“While China has positively contributed to the level of annual demand from the official sector, we are still confident that central banks as a whole will remain net buyers. Buying has been broad-based, with several other central banks continuing to accumulate gold, even as the gold price has increased in recent months. As such, while central bank demand for 2024 may not reach the levels seen in 2022 or 2023, we still believe that it will remain healthy for the remainder of the year,” Krishan Gopaul, Senior Analyst at the World Gold Council, said in a recent comment to Kitco News before the survey data was released.
While nearly one-third of central banks surveyed look to buy gold this year, there is a broad-based expectation throughout the official sector that gold reserves will rise. The survey said that 81% of participants expect holdings to rise in the next 12 months, up sharply from 71% reported last year.
According to the survey, the growing diversification into gold comes as central banks see an increasing shift in global financial markets as the U.S. role as the world’s reserve currency continues to diminish.
Looking at the U.S. dollar’s role as the world’s reserve currency, 62% of respondents said they think the dollar’s share will diminish five years from now, up from 55% in 2023 and 42% in 2022.
Meanwhile, regarding gold, 69% of respondents thought the yellow metal would constitute a larger proportion five years from now, up from 62% in 2023 and 46% in 2022.
The World Gold Council noted that sentiment is significantly different when broken down between central banks in emerging markets and developing economies (EMDE) and those in developed nations. EMDE central banks generally see gold’s role as a monetary metal increasing as the U.S. dollar’s shine tarnishes.
However, while advanced economy central banks remain loyal to the greenback, they admit that gold’s role in the global landscape is changing.
“EMDE central banks, which have been the primary driver of gold buying since the 2008 global financial crisis, appear to be more pessimistic about the US dollar’s future share of global reserves and more optimistic about that of gold,” the analysts said in the report. “Nonetheless, it is notable too that the percentage of advanced economy respondents who believe that gold’s share of global reserves will rise has increased significantly from 38% in 2023 to 57% in 2024.”
As central banks look to diversify away from the U.S. dollar, the participants said that “interest rate levels,” “inflation concerns,” and “geopolitical instability” continue to be the leading factors in central bankers’ reserve management decisions, relatively in line with the responses last year.
According to the survey, central banks are motivated to hold gold because it is seen as a “long-term store of value/inflation hedge,” its “performance during times of crisis,” an “effective portfolio diversifier,” and there is “no default risk.”

“These results seem to reflect an underlying theme of EMDE central banks, but also increasingly advanced economy central banks, valuing gold’s strategic role amidst uncertain geopolitical times and renewed concerns about financial stability. This underscores the challenging economic and strategic circumstances faced by both groups,” the analysts said. "
24,"Jun 17, 2024","Bank of America remains bullish on silver, sees $35 an ounce by 2026","
(Kitco News) - Although market volatility has knocked silver down a peg with prices trading below $30 an ounce, a growing chorus of analysts is not ready to give up on the precious metal just yet.
Bank of America is the latest institution to weigh in on the market, seeing robust potential in the mining sector. Despite the recent selloff in silver, Michael Widmer, the bank’s precious metals strategist, expects silver prices to push to $35 an ounce within the next two years.
In the short term, many analysts note that even in the current correction, silver has managed to hold solid support at its upward-trending 50-day moving average. July silver futures last traded at $29.235 an ounce, down 0.86% on the day.
In the last couple of years, gold has been the go-to safe-haven asset as investors looked to hedge against geopolitical risks; however, Bank of America expects that now it’s silver's time to shine as it has just recently started to perform within the precious metals sector.
“Silver has underperformed gold as industrial demand has been weak. With the global economy turning a corner, the white metal should start to perform better. Additional support is also coming through as the next generation of solar panels, which are more silver-intensive, are gaining traction. All of this may then also attract more investors to the market, creating a virtuous cycle that pushes prices higher, with $30/oz within reach,” Lawson Winder, Research Analyst at BofA and the lead author of the latest silver report, said.
In this environment, Winder affirmed the bank’s buy-rating for silver equities. The bank’s two big silver picks are Pan American Silver (NYSE: PAAS) and Wheaton Precious Metals (NYSE: WPM).
“PAAS is catalyst-rich, has a solid balance sheet, and offers solid production growth with significant upside potential across various assets in the portfolio,” Winder said. “WPM has peer-leading volume growth, is exposed to top-tier jurisdictions, has a strong balance sheet, and offers insulation from industry inflationary cost pressures.”
Although silver has significant potential as an industrial metal, Winder said that for prices to take off, investment demand has to pick up.
“While prices have been maintained, we acknowledge that silver has not made a decisive push higher of late. Why not? Lackluster investor demand is one reason. We are seeing a lack of interest among assets under management at physically backed ETFs. This is also reflected in CME net non-commercial positions, trading volumes on the Shanghai Gold Exchange/Shanghai Futures Exchange, and US coin purchases. Yet, we also note encouraging signs in commercial demand, which may ultimately attract investors, reinforcing our constructive view on the metal for 2024,” Widmer said in the note."
25,"Jun 17, 2024","Gold, silver lower on bearish daily outside markets ","(Kitco News) - Gold and silver prices are lower, with gold solidly down, in midday U.S. trading Monday. There is a lack of major, fresh fundamental news to drive the metals markets to start the trading week, so gold and silver traders were focused on the outside markets, which are in a mostly bearish daily posture. U.S. Treasury yields have up-ticked and the competing asset class of equities sees the U.S. stock indexes at or near record highs. August gold was last down $24.80 at $2,324.00. July silver was last down $0.257 at $29.215.
Technical selling is also featured in the gold and silver markets today, as the near-term chart postures for both precious metals has deteriorated the past few weeks.
Despite the U.S. federal “Juneteenth” holiday on Wednesday, when U.S. markets are closed, it’s still a busy week for U.S. data, highlighted by the retail sales report out on Tuesday.
The key outside markets today see the U.S. dollar index slightly lower. Nymex crude oil prices are firmer and trading around $79.25 a barrel. The benchmark 10-year U.S. Treasury note yield is presently 4.289%.

Technically, August gold bulls and bears are on a level overall near-term technical playing field amid recent choppy trading. Bulls’ next upside price objective is to produce a close above solid resistance at the June high of $2,406.70. Bears' next near-term downside price objective is pushing futures prices below solid technical support at the June low of $2,304.20. First resistance is seen at $2,350.00 and then at last week’s high of $2,358.80. First support is seen at Friday’s low of $2,316.70 and then at the June low of $2,304.20. Wyckoff's Market Rating: 5.0.

July silver futures bulls have the overall near-term technical advantage. However, prices are trending down on the daily bar chart. Silver bulls' next upside price objective is closing prices above solid technical resistance at $31.00. The next downside price objective for the bears is closing prices below solid support at $28.00. First resistance is seen at today’s high of $29.65 and then at $30.00. Next support is seen at $29.00 and then at this week’s low of $28.73. Wyckoff's Market Rating: 6.0.
(Hey! My “Markets Front Burner” weekly email report is my best writing and analysis, I think, because I get to look ahead at the marketplace and do some market price forecasting. Plus, I’ll throw in an educational feature to move you up the ladder of trading/investing success. And it’s free! Email me at jim@jimwyckoff.com and I’ll add your email address to my Front Burner list.)"
26,"Jun 17, 2024","Gold price holds up in the face of Fed hawkishness, silver tests key support as coin sales diverge – Heraeus","(Kitco News) – Gold prices have fared fairly well in the wake of the Fed’s hawkish rhetoric and rate projections, while silver’s coin demand is seeing a significant divergence between major producers as spot prices test support, according to precious metals strategists at Heraeus.
In their latest precious metals report, the analysts noted that gold prices have made gains despite the Federal Reserve’s renewed hawkishness.
“On 12 June, the US reported a relatively flat headline CPI – a 3.3% year-on-year increase and unchanged on a seasonally adjusted basis – the lowest numbers in three years,” they noted. “This provided some support for the gold price, although Fed Chairman Jerome Powell’s subsequent signalling of cautiousness on rate-cutting after a Federal Open Market Committee (FOMC) meeting made it temporary.”
“Currently, members of the FOMC remain divided on whether to support one or two rate cuts this year,” they said, adding that the swap market is still pricing in a 42% chance that the Fed will deliver 50 basis points of rate cuts in 2024. “The gold price is still consolidating its gains, with support around $2,280/oz holding,” they said.
The analysts also noted that extreme weather events have disrupted first-quarter gold production in Australia. “Cyclones and heavy rain that led to floods resulted in a drop in gold output in Australia to 70 t in Q1’24 from 77 t in Q4’23,” they wrote. “In 2023, Australia was the world’s second-largest gold producer (310 t), second only to China (source: Statista). However, buoyed by high prices, most miners are maintaining production forecasts for the year.”
Gold is seeing a subdued start to the week, with spot gold opening at $2,334.87 per ounce in the overnight session before dropping to a daily low of $2,315.54 around 3 am EDT. It has since recovered somewhat, last trading at $2,324.71 per ounce for a loss of 0.34% on the day.

Turning to silver, the analysts said that after dropping below $30 per ounce following the June 7 Fed meeting, the gray metal’s spot price oscillated between $29 and $30 last week, testing key support.
“The gold:silver ratio rebounded to 79 from early June’s low of 73 as silver has underperformed gold, with both metals’ prices falling,” they noted.

On the physical demand side, Heraeus highlighted the significant divergence between the Perth and US Mint’s silver coin sales this year.
“Perth Mint silver coin sales remained weak, as the May sales of 796,934 oz significantly trailed previous years,” they noted. “May sales data represented a 58% decrease year-on-year and the lowest May figure in five years. Year-to-date sales reached 4.12 moz, a 51% drop year-on-year.”
They said that the weakness of Perth Mint silver coin sales in 2024 suggests that higher metal prices have impacted consumer demand.
“The US Mint sales, in contrast, appeared much more robust than in previous years,” they wrote. “During May, sales of 1.75 moz were recorded, a 9.7% year-on-year rise. Year-to-date sales reached 12.6 moz, a 52% increase year-on-year.”

Silver prices followed gold lower in early trading on Monday and tested key support at $29.026 per ounce just before 3 am EDT. The gray metal has since staged a modest recovery but remains in negative territory on the session, last trading at $29.468 for a loss of 0.30% on the daily chart.

 "
27,"Jun 17, 2024",Gold price under pressure but largely ignores improvement in New York Fed's Empire State Survey,"(Kitco News) - The gold market is starting the week on the back foot but is not seeing much reaction to better-than-expected improvement in the New York Region’s manufacturing sector,  according to the latest data from the New York Federal Reserve.
On Monday, the regional central bank said its Empire State Manufacturing Survey rose to -6, up from May’s reading of -15.6. Although activity remains in contraction territory, the survey was better than expected, as economists were looking for a reading of around -12.5.
“Manufacturing conditions remained weak in New York State in June. Employment continued contracting, and capital spending plans remained flat. Despite lackluster conditions, optimism about the six-month outlook rose to its highest level in over two years.” said Richard Deitz, Economic Research Advisor at the New York Fed in the report.
The latest economic data is not significantly impacting gold’s price action. August gold futures last traded at $2,333.30 an opulence, down 0.67% on the day.
Analysts have said that gold needs to see a solid push above $2,350 an ounce before the market’s neutral sentiment starts to shift.
Although activity remains weak, the report noted broad-based improvement. The New Orders Index rose to -1.0, up sharply from May’s reading at -16.5; meanwhile, the Shipments Index rose to 3.3 up from -1.2.
However, the labor market continues to lose momentum. The report said the Number of Employees Index dropped to -8.7, down from May’s reading of -6.4.
The report also noted that the slower economic activity is also helping cool down inflation. The report said that the Prices Index dropped to 24.5, down from the prior reading of 28.3. "
28,"Jun 17, 2024","Outside markets put price pressure on gold, silver   ","(Kitco News) - Gold and silver prices are lower in early U.S. trading Monday. Amid a lack of major, fresh fundamental news to drive the metals markets to start the trading week, gold and silver traders are focused on the outside markets, which are in a mostly bearish daily posture. The U.S. dollar index is firmer, U.S. Treasury yields have up-ticked and the competing asset class of equities sees the U.S. stock indexes at or near record highs. August gold was last down $14.90 at $2,334.20. July silver was last down $0.132 at $29.34.
Asian and European stock indexes were mixed overnight. U.S. stock indexes are pointed toward mixed openings when the New York day session begins. Despite the U.S. federal holiday on Wednesday, when U.S. markets are closed, it’s still a busy week for U.S. data, highlighted by the retail sales report on Tuesday.
There was a batch of China economic data released Monday. It was a mixed bag, as in May there was growth in industrial production and consumer spending came in stronger than expected. However, investment slowed and property prices declined. Bloomberg reported overall headline numbers pointed to a still-weak recovery.
The key outside markets today see the U.S. dollar index slightly higher. Nymex crude oil prices are a bit firmer and trading around $78.75 a barrel. The benchmark 10-year U.S. Treasury note yield is presently 4.23%.
U.S. economic data due for release Monday is light and includes the Empire State manufacturing survey.

Technically, August gold bulls and bears are on a level overall near-term technical playing field amid recent choppy trading. Bulls’ next upside price objective is to produce a close above solid resistance at the June high of $2,406.70. Bears' next near-term downside price objective is pushing futures prices below solid technical support at the June low of $2,304.20. First resistance is seen at $2,350.00 and then at last week’s high of $2,358.80. First support is seen at Friday’s low of $2,316.70 and then at the June low of $2,304.20. Wyckoff's Market Rating: 5.0.

July silver futures bulls have the overall near-term technical advantage. However, prices are trending down on the daily bar chart. Silver bulls' next upside price objective is closing prices above solid technical resistance at $31.00. The next downside price objective for the bears is closing prices below solid support at $28.00. First resistance is seen at today’s high of $29.65 and then at $30.00. Next support is seen at $29.00 and then at this week’s low of $28.73. Wyckoff's Market Rating: 6.0.
(Hey! My “Markets Front Burner” weekly email report is my best writing and analysis, I think, because I get to look ahead at the marketplace and do some market price forecasting. Plus, I’ll throw in an educational feature to move you up the ladder of trading/investing success. And it’s free! Email me at jim@jimwyckoff.com and I’ll add your email address to my Front Burner list.)"
29,"Jun 17, 2024",Gold market analysis for June 17 - key intra-day price entry levels for active traders,"(Kitco News) - This 5-minute bar chart for Comex gold futures can be a valuable analytical and trading tool for the active intra-day gold futures trader/market watcher. Based on key short-term technical support and resistance levels, I show potential buy and sell price entry points. (Remember, most successful traders buy on early price strength and sell on early price weakness.) If you are an active intra-day trader of gold, you definitely want to check out this unique and exclusive daily trading/analytical tool found only at Kitco. 
"
